iter	RMSE
449	0.07849367865
450	0.07848076807
451	0.07846829303
452	0.07838455125
453	0.07829492214
454	0.07821646957
455	0.07812533005
456	0.07803511315
457	0.07802265561
458	0.07793900603
459	0.07785431972
460	0.07779611628
461	0.07768826524
462	0.0776012628
463	0.07754325773
464	0.07749508132
465	0.07748669646
466	0.07740732512
467	0.07735816553
468	0.0773173908
469	0.07720709644
470	0.07717137225
471	0.07711630428
472	0.07699937268
473	0.07694390004
474	0.07689154584
475	0.07687988467
476	0.0767920718
477	0.07671806215
478	0.07667413519
479	0.07657151692
480	0.0764657854
481	0.07639097345
482	0.07632019868
483	0.07625885891
484	0.07622047305
485	0.07618772942
486	0.07610709434
487	0.07609897069
488	0.07601083643
489	0.07591959129
490	0.07590369149
491	0.07582410524
492	0.0758129993
493	0.07571438361
494	0.07562217774
495	0.07552950011
496	0.07547217341
497	0.07543567373
498	0.07540075947
499	0.07538652787
